coreid	type	modified	license	rightsHolder	bibliographicCitation	references	institutionID	collectionID	datasetID	collectionCode	datasetName	basisOfRecord	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	associatedMedia	associatedReferences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	preparations	disposition	associatedSequences	materialSampleID	eventID	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
28e205d4-9aed-4d91-b1be-f1ea534a4f7b											NILS	HumanObservation			a17dd6c9-5a43-44fe-b7b3-f6bd76f19deb	a17dd6c9-5a43-44fe-b7b3-f6bd76f19deb											present										28e205d4-9aed-4d91-b1be-f1ea534a4f7b							Reported by expert		urn:lsid:dyntaxa.se:Taxon:221157		urn:lsid:dyntaxa.se:Taxon:221157	urn:lsid:dyntaxa.se:Taxon:1006177					Vaccinium myrtillus							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Magnoliophyta | Eudicots | Ericales | Ericaceae | Vaccinium	Plantae	Tracheophyta	Eudicots	Ericales	Ericaceae	Vaccinium				species		L.	blåbär		accepted	valid	
9232f973-1231-4f45-bea9-141a03178805											NILS	HumanObservation			32796598-4387-4a8e-bd1c-a042de3d695c	32796598-4387-4a8e-bd1c-a042de3d695c											present										9232f973-1231-4f45-bea9-141a03178805							Reported by expert		urn:lsid:dyntaxa.se:Taxon:2807		urn:lsid:dyntaxa.se:Taxon:2807	urn:lsid:dyntaxa.se:Taxon:1004639					Hylocomium splendens							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Bryophyta | Bryophytina | Bryopsida | Bryidae | Hypnanae | Hypnales | Hylocomiaceae | Hylocomium	Plantae	Bryophyta	Bryopsida	Hypnales	Hylocomiaceae	Hylocomium				species		(Hedw.) Schimp.	husmossa		accepted	valid	Publ.: Bryologia Europaea 5: 173 (fasc. 49–51. Monogr. 5). 1852
5b524d13-840c-428f-95bd-ed6807084952											NILS	HumanObservation			89121d6e-d2a1-4bb3-be95-e5c42b97f5b6	89121d6e-d2a1-4bb3-be95-e5c42b97f5b6											present										5b524d13-840c-428f-95bd-ed6807084952							Reported by expert		urn:lsid:dyntaxa.se:Taxon:221157		urn:lsid:dyntaxa.se:Taxon:221157	urn:lsid:dyntaxa.se:Taxon:1006177					Vaccinium myrtillus							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Magnoliophyta | Eudicots | Ericales | Ericaceae | Vaccinium	Plantae	Tracheophyta	Eudicots	Ericales	Ericaceae	Vaccinium				species		L.	blåbär		accepted	valid	
054480c8-fc22-4cb3-abd0-9c432b380bb2											NILS	HumanObservation			ba27a55d-627c-46ff-824b-654cda48877b	ba27a55d-627c-46ff-824b-654cda48877b											present										054480c8-fc22-4cb3-abd0-9c432b380bb2							Reported by expert		urn:lsid:dyntaxa.se:Taxon:1005771		urn:lsid:dyntaxa.se:Taxon:1005771	urn:lsid:dyntaxa.se:Taxon:2002714					Carex							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Magnoliophyta | Monocots | Poales | Cyperaceae	Plantae	Tracheophyta	Monocots	Poales	Cyperaceae	Carex				genus		L.	starrar		accepted	valid	
38520b2e-f5b6-43f0-bf9d-ff2605a1f39c											NILS	HumanObservation			34b56774-e7ea-4066-8103-4ba6a30a002d	34b56774-e7ea-4066-8103-4ba6a30a002d											present										38520b2e-f5b6-43f0-bf9d-ff2605a1f39c							Reported by expert		urn:lsid:dyntaxa.se:Taxon:222416		urn:lsid:dyntaxa.se:Taxon:222416	urn:lsid:dyntaxa.se:Taxon:1016472					Avenella flexuosa							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Magnoliophyta | Monocots | Poales | Poaceae | Avenella	Plantae	Tracheophyta	Monocots	Poales	Poaceae	Avenella				species		(L.) Drejer	kruståtel		accepted	valid	Publ.: Drejer, Fl. Excurs. Hafn.: 32. 1838
f53b4635-816e-47f0-b400-edf3b93817a0											NILS	HumanObservation			171030f6-3ff0-4fc1-843f-7474a4d5454f	171030f6-3ff0-4fc1-843f-7474a4d5454f											present										f53b4635-816e-47f0-b400-edf3b93817a0							Reported by expert		urn:lsid:dyntaxa.se:Taxon:2811		urn:lsid:dyntaxa.se:Taxon:2811	urn:lsid:dyntaxa.se:Taxon:1004710					Rhytidiadelphus squarrosus							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Bryophyta | Bryophytina | Bryopsida | Bryidae | Hypnanae | Hypnales | Hylocomiaceae | Rhytidiadelphus	Plantae	Bryophyta	Bryopsida	Hypnales	Hylocomiaceae	Rhytidiadelphus				species		(Hedw.) Warnst.	gräshakmossa		accepted	valid	Publ.: Kryptogamenflora der Mark Brandenburg, Laubmoose 2: 918, f. 5 [p. 926]. 1906
251ffc81-347b-4583-b2db-7e41562a2c34											NILS	HumanObservation			f2c243e5-0d31-4909-93dc-0dcaee1dc6f9	f2c243e5-0d31-4909-93dc-0dcaee1dc6f9											present										251ffc81-347b-4583-b2db-7e41562a2c34							Reported by expert		urn:lsid:dyntaxa.se:Taxon:221157		urn:lsid:dyntaxa.se:Taxon:221157	urn:lsid:dyntaxa.se:Taxon:1006177					Vaccinium myrtillus							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Magnoliophyta | Eudicots | Ericales | Ericaceae | Vaccinium	Plantae	Tracheophyta	Eudicots	Ericales	Ericaceae	Vaccinium				species		L.	blåbär		accepted	valid	
1c00c5f7-c752-4a29-850f-cef53eab7ffa											NILS	HumanObservation			8b22d5aa-bea8-4782-95fd-a60e7ce4b953	8b22d5aa-bea8-4782-95fd-a60e7ce4b953											present										1c00c5f7-c752-4a29-850f-cef53eab7ffa							Reported by expert		urn:lsid:dyntaxa.se:Taxon:220850		urn:lsid:dyntaxa.se:Taxon:220850	urn:lsid:dyntaxa.se:Taxon:1006070					Picea abies							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Pinophyta | Pinopsida | Pinales | Pinaceae | Picea	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea				species		(L.) H. Karst.	gran		accepted	valid	
af12a8ae-91b9-4c65-8b51-ec058da6ddfb											NILS	HumanObservation			2ff18600-22a8-49dc-9b26-14aa60dc5432	2ff18600-22a8-49dc-9b26-14aa60dc5432											present										af12a8ae-91b9-4c65-8b51-ec058da6ddfb							Reported by expert		urn:lsid:dyntaxa.se:Taxon:1005771		urn:lsid:dyntaxa.se:Taxon:1005771	urn:lsid:dyntaxa.se:Taxon:2002714					Carex							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Magnoliophyta | Monocots | Poales | Cyperaceae	Plantae	Tracheophyta	Monocots	Poales	Cyperaceae	Carex				genus		L.	starrar		accepted	valid	
f53b4635-816e-47f0-b400-edf3b93817a0											NILS	HumanObservation			036cb0b5-7e31-4cd3-ae5a-d52f964a267e	036cb0b5-7e31-4cd3-ae5a-d52f964a267e											present										f53b4635-816e-47f0-b400-edf3b93817a0							Reported by expert		urn:lsid:dyntaxa.se:Taxon:221222		urn:lsid:dyntaxa.se:Taxon:221222	urn:lsid:dyntaxa.se:Taxon:1006196					Lathyrus linifolius							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Magnoliophyta | Eudicots | Fabales | Fabaceae | Lathyrus	Plantae	Tracheophyta	Eudicots	Fabales	Fabaceae	Lathyrus				species		(Reichard) Bässler	gökärt		accepted	valid	
a50cc47f-f1cc-4e2b-b3c9-88243baacf0e											NILS	HumanObservation			dfebf127-5d17-4666-8d90-fb512e09fc0c	dfebf127-5d17-4666-8d90-fb512e09fc0c											present										a50cc47f-f1cc-4e2b-b3c9-88243baacf0e							Reported by expert		urn:lsid:dyntaxa.se:Taxon:223026		urn:lsid:dyntaxa.se:Taxon:223026	urn:lsid:dyntaxa.se:Taxon:1005811					Filipendula ulmaria							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Magnoliophyta | Eudicots | Rosales | Rosaceae | Filipendula	Plantae	Tracheophyta	Eudicots	Rosales	Rosaceae	Filipendula				species		(L.) Maxim.	älggräs		accepted	valid	
5b524d13-840c-428f-95bd-ed6807084952											NILS	HumanObservation			2157fa6c-5040-4c61-9d94-3308a814f71b	2157fa6c-5040-4c61-9d94-3308a814f71b											present										5b524d13-840c-428f-95bd-ed6807084952							Reported by expert		urn:lsid:dyntaxa.se:Taxon:221157		urn:lsid:dyntaxa.se:Taxon:221157	urn:lsid:dyntaxa.se:Taxon:1006177					Vaccinium myrtillus							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Magnoliophyta | Eudicots | Ericales | Ericaceae | Vaccinium	Plantae	Tracheophyta	Eudicots	Ericales	Ericaceae	Vaccinium				species		L.	blåbär		accepted	valid	
c37df394-4d8b-4528-be67-a818708d4afc											NILS	HumanObservation			ddd75561-949a-432d-ac8f-26a94ae14ab4	ddd75561-949a-432d-ac8f-26a94ae14ab4											present										c37df394-4d8b-4528-be67-a818708d4afc							Reported by expert		urn:lsid:dyntaxa.se:Taxon:222416		urn:lsid:dyntaxa.se:Taxon:222416	urn:lsid:dyntaxa.se:Taxon:1016472					Avenella flexuosa							Biota | Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Euphyllophytina | Spermatophytae | Magnoliophyta | Monocots | Poales | Poaceae | Avenella	Plantae	Tracheophyta	Monocots	Poales	Poaceae	Avenella				species		(L.) Drejer	kruståtel		accepted	valid	Publ.: Drejer, Fl. Excurs. Hafn.: 32. 1838
